pregunta,respuesta,tema,dificultad
¿Para qué sirve Linux?,Sistema operativo de código abierto,Tecnologia,facil
¿Qué es un hashtag?,Etiqueta para categorizar contenido en redes sociales,Tecnologia,facil
¿Cuál es la función de un router?,Dirigir tráfico de red entre dispositivos,Tecnologia,facil
¿Para qué sirve Selenium?,Para automatización de pruebas web,Tecnologia,facil
¿Qué es la gamificación?,Aplicar elementos de juego en contextos no lúdicos,Tecnologia,facil
¿Cuál es la diferencia entre frontend y backend?,Frontend es interfaz de usuario backend es servidor,Tecnologia,facil
¿Para qué sirve MongoDB?,Base de datos NoSQL orientada a documentos,Tecnologia,facil
¿Qué es el Internet de las Cosas?,Red de dispositivos conectados que intercambian datos,Tecnologia,facil
¿Qué es DevSecOps?,Integración de seguridad en el ciclo DevOps,Tecnologia,medio
¿Para qué sirve Terraform?,Para infraestructura como código,Tecnologia,medio
¿Qué es la programación funcional?,Paradigma basado en funciones matemáticas,Tecnologia,medio
¿Cuál es la diferencia entre GraphQL y REST?,GraphQL permite consultas flexibles REST usa endpoints fijos,Tecnologia,medio
¿Para qué sirve Apache Kafka?,Para streaming de datos en tiempo real,Tecnologia,medio
¿Qué es el edge computing?,Procesamiento de datos cerca del origen,Tecnologia,medio
¿Cuál es la función de un CDN?,Red de distribución de contenido geográficamente distribuida,Tecnologia,medio
¿Para qué sirve Elasticsearch?,Motor de búsqueda y análisis distribuido,Tecnologia,medio
¿Qué es la programación orientada a eventos?,Paradigma donde el flujo se determina por eventos,Tecnologia,medio
¿Cuál es la diferencia entre SQL y NoSQL?,SQL usa esquemas fijos NoSQL es flexible,Tecnologia,medio
¿Para qué sirve Jenkins?,Para integración y entrega continua,Tecnologia,medio
¿Qué es la arquitectura serverless?,Computación sin gestión de servidores,Tecnologia,medio
¿Cuál es la función de un load balancer?,Distribuir carga entre múltiples servidores,Tecnologia,medio
¿Para qué sirve React?,Biblioteca para crear interfaces de usuario,Tecnologia,medio
¿Qué es la computación cuántica?,Computación usando principios de mecánica cuántica,Tecnologia,medio
¿Cuál es la diferencia entre TCP e UDP?,TCP garantiza entrega UDP es más rápido,Tecnologia,medio
¿Para qué sirve Docker Compose?,Para definir aplicaciones multi-contenedor,Tecnologia,medio
¿Qué es la metodología Agile?,Enfoque iterativo de desarrollo de software,Tecnologia,medio
¿Cuál es la función de Prometheus?,Sistema de monitoreo y alertas,Tecnologia,medio
¿Para qué sirve Ansible?,Para automatización de configuración y despliegue,Tecnologia,medio
¿Qué es la observabilidad?,Capacidad de entender estado interno de sistemas,Tecnologia,medio
¿Cuál es la diferencia entre PaaS y SaaS?,PaaS es plataforma SaaS es software como servicio,Tecnologia,medio
¿Para qué sirve Apache Spark?,Para procesamiento distribuido de big data,Tecnologia,medio
¿Qué es la inmutabilidad en programación?,Objetos que no pueden cambiar después de creación,Tecnologia,medio
¿Cuál es la función de Service Mesh?,Capa de infraestructura para comunicación entre servicios,Tecnologia,medio
¿Para qué sirve Kubernetes Helm?,Gestor de paquetes para Kubernetes,Tecnologia,medio
¿Qué es la latencia en redes?,Tiempo que tarda un dato en viajar,Tecnologia,medio
¿Cuál es la diferencia entre monolito y microservicios?,Monolito es aplicación única microservicios son independientes,Tecnologia,medio
¿Para qué sirve Apache Airflow?,Para orquestación de flujos de trabajo,Tecnologia,medio
¿Qué es la teoría de colas en sistemas?,Estudio de líneas de espera en procesamiento,Tecnologia,dificil
¿Para qué sirve el algoritmo de Dijkstra?,Para encontrar el camino más corto en grafos,Tecnologia,dificil
¿Qué es la consistencia eventual?,Modelo donde datos convergen a consistencia,Tecnologia,dificil
¿Cuál es el problema de las dos generales?,Problema de consenso en sistemas distribuidos,Tecnologia,dificil
¿Para qué sirve el patrón CQRS?,Separar comandos de consultas en arquitectura,Tecnologia,dificil
¿Qué es la programación reactiva?,Paradigma basado en flujos de datos asincrónicos,Tecnologia,dificil
¿Cuál es la función del algoritmo de Paxos?,Conseguir consenso en sistemas distribuidos,Tecnologia,dificil
¿Para qué sirve el Event Sourcing?,Almacenar eventos en lugar de estado actual,Tecnologia,dificil
¿Qué es la complejidad ciclomática?,Métrica de complejidad de código,Tecnologia,dificil
¿Cuál es el teorema de Brewer?,Imposibilidad de garantizar CAP simultáneamente,Tecnologia,dificil
¿Para qué sirve la técnica de Blue-Green Deployment?,Estrategia de despliegue sin downtime,Tecnologia,dificil
¿Qué es la programación por contrato?,Especificar precondiciones y postcondiciones,Tecnologia,dificil
¿Cuál es la función del algoritmo de Raft?,Consenso distribuido más simple que Paxos,Tecnologia,dificil
¿Para qué sirve la técnica de Database Sharding?,Particionamiento horizontal de bases de datos,Tecnologia,dificil
¿Qué es el polimorfismo paramétrico?,Código que opera sobre múltiples tipos,Tecnologia,dificil
¿Cuál es el principio de responsabilidad única?,Cada clase debe tener una sola razón para cambiar,Tecnologia,dificil
¿Para qué sirve el patrón Command?,Encapsular una petición como objeto,Tecnologia,dificil
¿Qué es la inversión de dependencias?,Depender de abstracciones no de concreciones,Tecnologia,dificil
¿Cuál es la función del algoritmo de MapReduce?,Procesamiento distribuido de grandes datasets,Tecnologia,dificil
¿Para qué sirve la técnica de Circuit Breaker?,Prevenir cascadas de fallos en sistemas,Tecnologia,dificil
¿Qué es la programación concurrente?,Múltiples tareas ejecutándose simultáneamente,Tecnologia,dificil
¿Cuál es el concepto de idempotencia?,Operación que produce el mismo resultado repetidamente,Tecnologia,dificil
¿Para qué sirve el patrón Saga?,Gestionar transacciones distribuidas,Tecnologia,dificil
¿Qué es la evaluación perezosa?,Retrasar evaluación hasta que sea necesaria,Tecnologia,dificil
¿Cuál es la función de los sistemas de tipos?,Verificar corrección de programas,Tecnologia,dificil
¿Para qué sirve la técnica de Eventual Consistency?,Consistencia que se alcanza eventualmente,Tecnologia,dificil
¿Qué es la computación paralela?,Ejecución simultánea de múltiples procesos,Tecnologia,dificil
¿Cuál es el principio de sustitución de Liskov?,Objetos derivados deben ser sustituibles,Tecnologia,dificil
¿Para qué sirve el algoritmo de Byzantine Generals?,Consenso en presencia de nodos maliciosos,Tecnologia,dificil
¿Qué es la reflexión computacional?,Capacidad de examinar y modificar estructura del programa,Tecnologia,dificil
¿Cuál es la función de los sistemas de tipos dependientes?,Tipos que dependen de valores,Tecnologia,muy-dificil
¿Para qué sirve la teoría de categorías en programación?,Fundamento matemático para lenguajes funcionales,Tecnologia,muy-dificil
¿Qué es la correspondencia de Curry-Howard?,Relación entre proposiciones lógicas y tipos,Tecnologia,muy-dificil
¿Cuál es el problema de la parada?,Imposibilidad de determinar si programa termina,Tecnologia,muy-dificil
¿Para qué sirve el cálculo lambda?,Base formal de programación funcional,Tecnologia,muy-dificil
¿Qué es la semántica operacional?,Especificación formal del significado de programas,Tecnologia,muy-dificil
¿Cuál es la función de los sistemas de inferencia de tipos?,Deducir automáticamente tipos sin anotaciones,Tecnologia,muy-dificil
¿Para qué sirve la lógica de Hoare?,Verificación formal de corrección de programas,Tecnologia,muy-dificil
¿Qué es la computación probabilística?,Algoritmos que usan aleatoriedad,Tecnologia,muy-dificil
¿Cuál es el concepto de mónadas en programación?,Estructura que encapsula computaciones con contexto,Tecnologia,muy-dificil
¿Para qué sirve la teoría de juegos algorítmica?,Análisis de algoritmos en entornos estratégicos,Tecnologia,muy-dificil
¿Qué es la complejidad parameterizada?,Análisis de complejidad con múltiples parámetros,Tecnologia,muy-dificil
¿Cuál es la función de la verificación por modelo?,Verificación automática de sistemas mediante estados,Tecnologia,muy-dificil
¿Para qué sirve el cálculo de procesos?,Modelado formal de sistemas concurrentes,Tecnologia,muy-dificil
¿Qué es la computación reversible?,Computación donde operaciones pueden deshacerse,Tecnologia,muy-dificil
¿Cuál es el concepto de tipos lineales?,Sistemas de tipos que rastrean uso de recursos,Tecnologia,muy-dificil
¿Para qué sirve la lógica temporal?,Razonamiento sobre propiedades que cambian en tiempo,Tecnologia,muy-dificil
¿Qué es la semántica denotacional?,Asignación de significado matemático a programas,Tecnologia,muy-dificil
¿Cuál es la función de los autómatas celulares?,Modelos de computación distribuida local,Tecnologia,muy-dificil
¿Para qué sirve la teoría de la complejidad descriptiva?,Caracterizar complejidad mediante lógica,Tecnologia,muy-dificil
¿Qué es la computación bioinspirada?,Algoritmos basados en procesos biológicos,Tecnologia,muy-dificil
¿Cuál es el concepto de efectos computacionales?,Modelado formal de operaciones no puras,Tecnologia,muy-dificil
¿Para qué sirve la lógica difusa en programación?,Razonamiento con incertidumbre y vaguedad,Tecnologia,muy-dificil
¿Qué es la programación por restricciones?,Paradigma declarativo basado en restricciones,Tecnologia,muy-dificil
¿Cuál es la función de los sistemas de reescritura?,Transformación sistemática de términos,Tecnologia,muy-dificil
¿Para qué sirve la teoría de la información algorítmica?,Medida de información contenida en objetos,Tecnologia,muy-dificil
¿Qué es la computación evolutiva?,Algoritmos basados en evolución natural,Tecnologia,muy-dificil
¿Cuál es el concepto de coalgebras en CS?,Estructuras duales a álgebras para sistemas dinámicos,Tecnologia,muy-dificil
¿Para qué sirve la lógica modal en verificación?,Razonamiento sobre posibilidad y necesidad,Tecnologia,muy-dificil
¿Qué es la programación con continuaciones?,Control de flujo explícito mediante continuaciones,Tecnologia,muy-dificil
¿Cuántos días tiene febrero?,28 o 29 según el año,Social,muy-facil
¿Cuál es el color del sol?,Amarillo,Social,muy-facil
¿Qué animal dice miau?,Gato,Social,muy-facil
¿Cuántas horas duerme una persona?,Entre 7-8 horas,Social,muy-facil
¿Cuál es la comida principal del día?,Almuerzo,Social,muy-facil
¿Qué hacemos con los dientes?,Masticar,Social,muy-facil
¿Cuántos ojos tenemos?,Dos,Social,muy-facil
¿Qué bebemos cuando tenemos sed?,Agua,Social,muy-facil
¿Cuál es el primer día de la semana?,Lunes,Social,muy-facil
¿Qué usamos para escribir?,Lápiz o bolígrafo,Social,muy-facil
¿Cuántas manos tenemos?,Dos,Social,muy-facil
¿Qué hacemos en el colegio?,Aprender,Social,muy-facil
¿Cuál es la estación más fría?,Invierno,Social,muy-facil
¿Qué necesitamos para caminar?,Piernas,Social,muy-facil
¿Cuántos dedos hay en una mano?,Cinco,Social,muy-facil
¿Qué usamos para ver?,Ojos,Social,muy-facil
¿Cuál es el último mes del año?,Diciembre,Social,muy-facil
¿Qué hacemos cuando llueve?,Nos protegemos,Social,muy-facil
¿Cuántas ruedas tiene un coche?,Cuatro,Social,muy-facil
¿Qué comemos en el desayuno?,Cereales pan o fruta,Social,muy-facil
¿Cuál es la capital de tu país?,Depende del país,Social,muy-facil
¿Qué hacemos con las manos?,Tocar y agarrar,Social,muy-facil
¿Cuántos minutos tiene una hora?,Sesenta,Social,muy-facil
¿Qué animal da leche?,Vaca,Social,muy-facil
¿Cuál es el último día de la semana?,Domingo,Social,muy-facil
¿Qué usamos para escuchar?,Oídos,Social,muy-facil
¿Cuántas estaciones del año hay?,Cuatro,Social,muy-facil
¿Qué hacemos en la cama?,Dormir,Social,muy-facil
¿Cuál es el primer mes del año?,Enero,Social,muy-facil
¿Qué necesitamos para respirar?,Aire,Social,muy-facil
¿Qué significa democracia?,Gobierno del pueblo,Social,facil
¿Cuándo se celebra el Día Internacional de la Mujer?,8 de marzo,Social,facil
¿Qué es la Declaración Universal de Derechos Humanos?,Documento que establece derechos fundamentales,Social,facil
¿Cuál es la diferencia entre público y privado?,Público es del Estado privado es de particulares,Social,facil
¿Qué son los impuestos?,Contribuciones obligatorias al Estado,Social,facil
¿En qué consiste el voto secreto?,Votar sin que otros sepan tu elección,Social,facil
¿Qué es la educación obligatoria?,Enseñanza que todos deben recibir por ley,Social,facil
¿Cuál es la función de un alcalde?,Gobernar un municipio,Social,facil
¿Qué significa tolerancia?,Respeto hacia ideas diferentes,Social,facil
¿En qué consiste la libertad de expresión?,Derecho a manifestar opiniones,Social,facil
¿Qué es la seguridad social?,Sistema de protección social del Estado,Social,facil
¿Cuál es la diferencia entre rural y urbano?,Rural es campo urbano es ciudad,Social,facil
¿Qué son las ONG?,Organizaciones No Gubernamentales,Social,facil
¿En qué consiste la igualdad de género?,Mismos derechos para hombres y mujeres,Social,facil
¿Qué es el medio ambiente?,Entorno natural que nos rodea,Social,facil
¿Cuál es la función de la policía?,Mantener el orden y la seguridad,Social,facil
¿Qué significa solidaridad?,Apoyo mutuo entre personas,Social,facil
¿En qué consiste la libertad de religión?,Derecho a practicar cualquier fe,Social,facil
¿Qué es la Constitución?,Ley fundamental de un país,Social,facil
¿Cuál es la diferencia entre derechos y deberes?,Derechos son lo que puedes exigir deberes lo que debes cumplir,Social,facil
¿Qué son los valores cívicos?,Principios que guían la convivencia social,Social,facil
¿En qué consiste la participación ciudadana?,Involucrarse en decisiones comunitarias,Social,facil
¿Qué es la discriminación?,Tratar de forma injusta por características personales,Social,facil
¿Cuál es la función del parlamento?,Hacer las leyes del país,Social,facil
¿Qué significa diversidad cultural?,Variedad de culturas en una sociedad,Social,facil
¿En qué consiste el estado de derecho?,Todos están sujetos a la ley,Social,facil
¿Qué es la inmigración?,Llegada de personas de otros países,Social,facil
¿Cuál es la diferencia entre monarquía y república?,Monarquía tiene rey república tiene presidente,Social,facil
¿Qué son los medios de comunicación?,Canales que difunden información,Social,facil
¿En qué consiste la justicia social?,Distribución equitativa de recursos y oportunidades,Social,facil
¿Qué es el capital social?,Redes de relaciones entre personas en una sociedad,Social,medio
¿En qué consiste la teoría de la modernización?,Proceso de transformación hacia sociedades industriales,Social,medio
¿Cuál es la función de las instituciones sociales?,Estructurar y organizar la vida social,Social,medio
¿Qué son las políticas públicas?,Acciones del gobierno para resolver problemas sociales,Social,medio
¿En qué consiste la movilidad social?,Cambio de posición social de individuos o grupos,Social,medio
¿Cuál es la diferencia entre cultura y sociedad?,Cultura son ideas y símbolos sociedad son relaciones,Social,medio
¿Qué es la socialización?,Proceso de aprendizaje de normas sociales,Social,medio
¿En qué consiste la cohesión social?,Grado de unión e integración de una sociedad,Social,medio
¿Cuál es la función de los grupos de interés?,Influir en políticas públicas,Social,medio
¿Qué son los movimientos sociales?,Acciones colectivas para el cambio social,Social,medio
¿En qué consiste la exclusión social?,Proceso que impide participación plena en sociedad,Social,medio
¿Cuál es la diferencia entre norma y valor?,Norma es regla de conducta valor es principio,Social,medio
¿Qué es la opinión pública?,Conjunto de opiniones de la ciudadanía,Social,medio
¿En qué consiste la teoría del capital humano?,Conocimientos y habilidades como inversión económica,Social,medio
¿Cuál es la función de la familia en sociedad?,Socialización y reproducción social,Social,medio
¿Qué son las redes sociales (sociológicas)?,Estructura de relaciones entre actores sociales,Social,medio
¿En qué consiste la desigualdad social?,Distribución no equitativa de recursos,Social,medio
¿Cuál es la diferencia entre rol y estatus?,Estatus es posición rol es comportamiento esperado,Social,medio
¿Qué es la ciudadanía?,Condición de pertenencia a una comunidad política,Social,medio
¿En qué consiste la teoría de la elección racional?,Individuos actúan maximizando beneficios,Social,medio
¿Cuál es la función de la educación en sociedad?,Transmitir conocimientos y reproducir cultura,Social,medio
¿Qué son los conflictos sociales?,Tensiones entre grupos con intereses diferentes,Social,medio
¿En qué consiste la identidad social?,Sentido de pertenencia a grupos sociales,Social,medio
¿Cuál es la diferencia entre multiculturalismo e interculturalismo?,Multiculturalismo coexiste interculturalismo interactúa,Social,medio
¿Qué es la gobernanza?,Proceso de tomar decisiones colectivas,Social,medio
¿En qué consiste la teoría de sistemas sociales?,Sociedad como sistema de interacciones,Social,medio
¿Cuál es la función de los rituales sociales?,Reforzar vínculos y valores comunitarios,Social,medio
¿Qué son las instituciones informales?,Reglas no escritas que guían comportamiento,Social,medio
¿En qué consiste la participación política?,Actividades para influir en decisiones gubernamentales,Social,medio
¿Cuál es la diferencia entre tradición y modernidad?,Tradición preserva el pasado modernidad busca cambio,Social,medio
¿En qué consiste la teoría del campo de Bourdieu?,Espacios sociales estructurados por relaciones de poder,Social,dificil
¿Cuál es el concepto de habitus bourdieuano?,Disposiciones duraderas que generan prácticas,Social,dificil
¿Qué son las comunidades imaginadas de Anderson?,Construcción social de identidad nacional,Social,dificil
¿En qué consiste la teoría de la estructuración de Giddens?,Relación dialéctica entre agencia y estructura,Social,dificil
¿Cuál es la función del panóptico foucaultiano?,Metáfora del poder disciplinario moderno,Social,dificil
¿Qué es la alienación marxista?,Separación del trabajador de su trabajo y producto,Social,dificil
¿En qué consiste la teoría de sistemas mundiales?,Análisis del capitalismo como sistema global,Social,dificil
¿Cuál es el concepto de anomia durkheimiana?,Estado de desregulación normativa,Social,dificil
¿Qué son los marcos interpretativos?,Esquemas cognitivos para dar sentido a la realidad,Social,dificil
¿En qué consiste la teoría del intercambio social?,Relaciones como intercambio de recursos,Social,dificil
¿Cuál es la función de la violencia simbólica?,Dominación que se ejerce sin fuerza física,Social,dificil
¿Qué es la individualización según Beck?,Proceso de liberación de estructuras tradicionales,Social,dificil
¿En qué consiste la sociedad del riesgo?,Sociedad caracterizada por riesgos manufacturados,Social,dificil
¿Cuál es el concepto de capital cultural?,Conocimientos y habilidades como forma de capital,Social,dificil
¿Qué son las instituciones totales de Goffman?,Organizaciones que controlan totalmente la vida,Social,dificil
¿En qué consiste la teoría de la acción comunicativa?,Acción orientada al entendimiento mutuo,Social,dificil
¿Cuál es la función de los rituales de interacción?,Crear solidaridad y energía emocional,Social,dificil
¿Qué es la modernidad líquida de Bauman?,Sociedad caracterizada por fluidez e incertidumbre,Social,dificil
¿En qué consiste la interseccionalidad?,Análisis de múltiples sistemas de opresión,Social,dificil
¿Cuál es el concepto de campo político?,Espacio de lucha por el poder simbólico,Social,dificil
¿Qué son las estructuras de oportunidad política?,Condiciones que facilitan o limitan acción colectiva,Social,dificil
¿En qué consiste la teoría del reconocimiento?,Lucha por reconocimiento como motor social,Social,dificil
¿Cuál es la función de la hegemonía gramsciana?,Dominación cultural en lugar de coerción,Social,dificil
¿Qué es la sociedad red de Castells?,Sociedad organizada en torno a redes de información,Social,dificil
¿En qué consiste la glocalización?,Interacción entre procesos globales y locales,Social,dificil
¿Cuál es el concepto de espacio social?,Campo multidimensional de posiciones sociales,Social,dificil
¿Qué son los movimientos de nuevo social?,Movimientos post-materialistas centrados en identidad,Social,dificil
¿En qué consiste la desinstitucionalización?,Proceso de debilitamiento de instituciones tradicionales,Social,dificil
¿Cuál es la función de la esfera pública?,Espacio de deliberación democrática,Social,dificil
¿Qué es la gubernamentalidad foucaultiana?,Arte de gobernar conductas y poblaciones,Social,muy-dificil
¿En qué consiste la biopolítica agambeniana?,Poder sobre la vida biológica en estado de excepción,Social,muy-dificil
¿Cuál es el concepto de multitud de Negri?,Subjetividad colectiva en capitalismo postmoderno,Social,muy-dificil
¿Qué son las máquinas deseantes deleuzianas?,Producción inconsciente del deseo como fuerza social,Social,muy-dificil
¿En qué consiste la deconstrucción derridaiana?,Estrategia que revela contradicciones en textos,Social,muy-dificil
¿Cuál es la función del simulacro baudrillardiano?,Copia sin original en sociedad mediática,Social,muy-dificil
¿Qué es la différance de Derrida?,Juego de diferir y diferencia en constitución del sentido,Social,muy-dificil
¿En qué consiste la sociedad del espectáculo?,Relaciones sociales mediadas por imágenes,Social,muy-dificil
¿Cuál es el concepto de rizoma deleuziano?,Modelo de pensamiento no jerárquico y múltiple,Social,muy-dificil
¿Qué son las heterotopías foucaultianas?,Espacios otros que reflejan y cuestionan espacios reales,Social,muy-dificil
¿En qué consiste la performatividad butleriana?,Identidad como repetición estilizada de actos,Social,muy-dificil
¿Cuál es la función de la comunidad que viene?,Comunidad basada en singularidades sin identidad,Social,muy-dificil
¿Qué es la ontología plana de Latour?,Actores humanos y no humanos en redes simétricas,Social,muy-dificil
¿En qué consiste el aceleracionismo?,Intensificación de procesos capitalistas hacia su superación,Social,muy-dificil
¿Cuál es el concepto de capitalismo cognitivo?,Economía basada en conocimiento y subjetividad,Social,muy-dificil
¿Qué son los regímenes de historicidad?,Formas de articular pasado presente y futuro,Social,muy-dificil
¿En qué consiste la crítica postcolonial?,Cuestionamiento de narrativas coloniales occidentales,Social,muy-dificil
¿Cuál es la función del neomaterialismo?,Agencia de la materia en configuraciones sociales,Social,muy-dificil
¿Qué es la ontología orientada a objetos?,Filosofía que equipara humanos y no humanos,Social,muy-dificil
¿En qué consiste la geografía posthumana?,Análisis espacial más allá de lo antropocéntrico,Social,muy-dificil
¿Cuál es el concepto de Antropoceno?,Era geológica dominada por actividad humana,Social,muy-dificil
¿Qué son las epistemologías del Sur?,Conocimientos subalternos no occidentales,Social,muy-dificil
¿En qué consiste la teoría queer?,Cuestionamiento de categorías sexuales normativas,Social,muy-dificil
¿Cuál es la función del nuevo materialismo?,Revalorización de la agencia material,Social,muy-dificil
¿Qué es la cosmopolítica?,Política que incluye entidades no humanas,Social,muy-dificil
¿En qué consiste la ontología relacional?,Realidad constituida por relaciones no entidades,Social,muy-dificil
¿En qué siglo se construyeron las pirámides?,Siglo XXVI a.C.,Historia,muy-facil
¿Quién fue el primer emperador de Roma?,Augusto,Historia,muy-facil
¿En qué año descubrió Colón América?,1492,Historia,muy-facil
¿Cuál fue la capital del Imperio Inca?,Cusco,Historia,muy-facil
¿En qué siglo vivió Shakespeare?,Siglo XVI-XVII,Historia,muy-facil
¿Quién fue Alejandro Magno?,Conquistador macedonio,Historia,muy-facil
¿En qué año comenzó la Revolución Francesa?,1789,Historia,muy-facil
¿Cuál fue el primer país en llegar a la Luna?,Estados Unidos,Historia,muy-facil
¿En qué siglo se inventó la imprenta?,Siglo XV,Historia,muy-facil
¿Quién fue Cristóbal Colón?,Explorador que llegó a América,Historia,muy-facil
¿En qué año terminó la Primera Guerra Mundial?,1918,Historia,muy-facil
¿Cuál fue la civilización de los faraones?,Egipto,Historia,muy-facil
¿En qué siglo vivió Mozart?,Siglo XVIII,Historia,muy-facil
¿Quién fue Gandhi?,Líder de la independencia de India,Historia,muy-facil
¿En qué año cayó el Imperio Romano?,476 d.C.,Historia,muy-facil
¿Cuál fue la guerra entre Norte y Sur de EE.UU.?,Guerra Civil Americana,Historia,muy-facil
¿En qué siglo se descubrió América?,Siglo XV,Historia,muy-facil
¿Quién fue Martin Luther King?,Líder de derechos civiles estadounidense,Historia,muy-facil
¿En qué año se independizó Estados Unidos?,1776,Historia,muy-facil
¿Cuál fue el emperador francés más famoso?,Napoleón Bonaparte,Historia,muy-facil
¿En qué siglo fue la Edad Media?,Siglos V-XV,Historia,muy-facil
¿Quién escribió la Declaración de Independencia americana?,Thomas Jefferson,Historia,muy-facil
¿En qué año comenzó la Segunda Guerra Mundial?,1939,Historia,muy-facil
¿Cuál fue la primera democracia de la historia?,Atenas,Historia,muy-facil
¿En qué siglo fue el Renacimiento?,Siglos XV-XVI,Historia,muy-facil
¿Quién fue el último zar de Rusia?,Nicolás II,Historia,muy-facil
¿En qué año se fundó Roma?,753 a.C.,Historia,muy-facil
¿Cuál fue la dinastía china más larga?,Zhou,Historia,muy-facil
¿En qué siglo vivió Beethoven?,Siglos XVIII-XIX,Historia,muy-facil
¿Quién fue el primer presidente de México?,Guadalupe Victoria,Historia,muy-facil
¿Cuál fue la causa principal de la Guerra Fría?,Rivalidad entre EE.UU. y URSS,Historia,facil
¿En qué año se firmó el Tratado de Versalles?,1919,Historia,facil
¿Quién fue Simón Bolívar?,Libertador de América del Sur,Historia,facil
¿Cuál fue el resultado de la Batalla de Waterloo?,Derrota definitiva de Napoleón,Historia,facil
¿En qué consistió la Revolución Industrial?,Transformación hacia producción mecanizada,Historia,facil
¿Quién fue Hernán Cortés?,Conquistador español de México,Historia,facil
¿Cuál fue la capital del Imperio Bizantino?,Constantinopla,Historia,facil
¿En qué año se abolió la esclavitud en Brasil?,1888,Historia,facil
¿Quién fue Mahoma?,Fundador del Islam,Historia,facil
¿Cuál fue el objetivo de las expediciones de Marco Polo?,Comercio con Asia,Historia,facil
¿En qué consistió la Reforma Protestante?,Movimiento religioso contra la Iglesia Católica,Historia,facil
¿Quién fue Francisco Pizarro?,Conquistador español del Perú,Historia,facil
¿Cuál fue la primera universidad europea?,Universidad de Bolonia,Historia,facil
¿En qué año se produjo la Revolución Rusa?,1917,Historia,facil
¿Quién fue Confucio?,Filósofo chino,Historia,facil
¿Cuál fue la causa de la caída de Constantinopla?,Conquista otomana,Historia,facil
¿En qué consistió el feudalismo?,Sistema político-económico medieval,Historia,facil
¿Quién fue Isabel la Católica?,Reina de Castilla que financió a Colón,Historia,facil
¿Cuál fue el imperio más extenso de la historia?,Imperio Mongol,Historia,facil
¿En qué año se unificó Italia?,1861,Historia,facil
¿Quién fue Nelson Mandela?,Líder sudafricano contra el apartheid,Historia,facil
¿Cuál fue la batalla decisiva de la independencia americana?,Batalla de Yorktown,Historia,facil
¿En qué consistió la Ilustración?,Movimiento intelectual del siglo XVIII,Historia,facil
¿Quién fue Vasco da Gama?,Explorador portugués que llegó a India,Historia,facil
¿Cuál fue la dinastía que construyó la Gran Muralla?,Qin,Historia,facil
¿En qué año se firmó la Carta Magna?,1215,Historia,facil
¿Quién fue Juana de Arco?,Heroína francesa de la Guerra de los Cien Años,Historia,facil
¿Cuál fue la primera capital de Estados Unidos?,Nueva York,Historia,facil
¿En qué consistió el Plan Marshall?,Programa de reconstrucción europea,Historia,facil
¿Quién fue el primer hombre en el espacio?,Yuri Gagarin,Historia,facil
¿Cuál fue el impacto del Tratado de Tordesillas?,División del Nuevo Mundo entre España y Portugal,Historia,medio
¿En qué consistió la Guerra de los Treinta Años?,Conflicto religioso-político europeo,Historia,medio
¿Quién fue Akbar el Grande?,Emperador mogol de India,Historia,medio
¿Cuál fue la importancia de la Batalla de Tours?,Detuvo la expansión musulmana en Europa,Historia,medio
¿En qué consistió el Cisma de Occidente?,División de la cristiandad occidental,Historia,medio
¿Quién fue Saladino?,Líder musulmán durante las Cruzadas,Historia,medio
¿Cuál fue el resultado de la Paz de Westfalia?,Nuevo orden político europeo,Historia,medio
¿En qué consistió la Revolución Gloriosa?,Cambio dinástico en Inglaterra,Historia,medio
¿Quién fue Toussaint Louverture?,Líder de la revolución haitiana,Historia,medio
¿Cuál fue la importancia de la Batalla de Hastings?,Conquista normanda de Inglaterra,Historia,medio
¿En qué consistió el Gran Cisma de Oriente?,Separación entre Iglesias católica y ortodoxa,Historia,medio
¿Quién fue Mansa Musa?,Emperador de Mali y hombre más rico de la historia,Historia,medio
¿Cuál fue el impacto de la Peste Negra?,Transformación social y económica de Europa,Historia,medio
¿En qué consistió la Guerra de Sucesión Española?,Conflicto por la herencia de Carlos II,Historia,medio
¿Quién fue Sun Yat-sen?,Fundador de la República China,Historia,medio
¿Cuál fue la importancia del Edicto de Nantes?,Tolerancia religiosa en Francia,Historia,medio
¿En qué consistió la Revolución Meiji?,Modernización de Japón,Historia,medio
¿Quién fue Shaka Zulu?,Rey y reformador militar zulú,Historia,medio
¿Cuál fue el resultado de la Guerra del Opio?,Apertura forzada de China,Historia,medio
¿En qué consistió el sistema de encomiendas?,Control de trabajo indígena en América,Historia,medio
¿Quién fue Mehmet II?,Sultán otomano que conquistó Constantinopla,Historia,medio
¿Cuál fue la importancia de la Conferencia de Berlín?,Reparto de África entre potencias europeas,Historia,medio
¿En qué consistió la Doctrina Monroe?,Política estadounidense para América Latina,Historia,medio
¿Quién fue Kemal Atatürk?,Fundador de la Turquía moderna,Historia,medio
¿Cuál fue el impacto de la Revolución de 1848?,Ola revolucionaria liberal en Europa,Historia,medio
¿En qué consistió el sistema tributario azteca?,Control imperial basado en tributos,Historia,medio
¿Quién fue Pachacútec?,Emperador inca que expandió el imperio,Historia,medio
¿Cuál fue la importancia del Congreso de Viena?,Reorganización europea tras Napoleón,Historia,medio
¿En qué consistió la Guerra de los Siete Años?,Primer conflicto mundial entre potencias,Historia,medio
¿Quién fue Solón?,Legislador ateniense que sentó bases democráticas,Historia,medio
